8,l,h,1,9,6,x,r,a,i,n,y,h,s,k,v,9
r,j,t,2,c,m,g,a,d,s,s,c,v,s,9,6,7
v,0,t,i,8,w,0,m,0,x,0,8,d,9,m,7,h
r,x,p,0,s,/,y,d,g,k,u,7,j,y,h,d,.
y,n,s,r,/,u,0,y,u,n,0,p,/,.,d,y,5
f,h,:,h,n,4,a,h,.,z,4,9,n,g,e,e,x
i,4,/,h,z,3,.,b,g,g,3,n,r,h,o,u,8
r,x,/,n,g,j,7,s,.,0,g,f,a,q,w,1,x
3,u,d,o,o,w,/,/,p,4,/,q,8,6,b,j,t
6,/,r,5,q,6,x,l,n,b,w,0,h,t,0,v,y
j,7,i,u,v,m,f,w,h,a,f,q,5,8,h,p,d
u,z,v,e,.,c,/,.,z,l,6,i,i,h,o,g,5
h,0,e,2,5,4,j,o,7,0,x,4,/,2,/,a,p
c,v,.,k,8,u,f,2,/,v,9,/,h,e,p,t,x
r,w,g,n,4,c,u,6,h,0,.,f,0,k,a,g,t
9,/,o,2,i,h,w,u,d,s,w,o,9,l,6,1,0
t,.,o,v,6,w,/,s,j,w,i,1,2,o,g,r,7
w,/,g,0,k,v,9,6,j,9,6,/,h,5,/,6,.
d,h,l,9,c,4,o,q,.,p,r,l,b,2,f,/,8
d,u,e,v,6,y,h,s,y,o,k,l,.,y,2,5,h
4,q,.,x,5,/,t,j,l,w,1,.,j,o,7,t,u
5,8,c,4,b,j,u,k,m,h,6,i,/,f,x,g,l
4,7,o,p,b,j,8,t,7,r,b,1,u,j,7,4,g
2,y,m,i,x,e,8,s,6,n,j,4,2,x,x,l,8
o,7,/,i,b,h,6,a,.,n,x,/,h,m,8,d,m
b,b,f,w,f,c,8,l,n,c,f,v,w,v,0,3,w
.,1,i,7,h,y,h,z,h,t,y,i,c,1,t,z,j
v,f,l,7,i,n,8,y,b,k,z,6,8,s,i,.,s
y,i,e,h,f,e,5,/,u,7,8,k,y,1,5,4,m
p,h,/,3,0,e,6,6,3,o,h,o,i,e,/,1,x
1,s,d,c,f,i,r,e,m,r,8,4,2,m,c,d,f
v,2,/,h,v,6,v,q,4,k,u,9,v,g,g,4,i
1,y,1,c,y,7,6,t,i,k,c,j,w,i,h,j,b
l,o,4,x,y,n,h,9,/,6,/,9,j,h,k,b,t
j,y,o,w,v,t,.,p,i,n,e,o,o,7,1,z,3
t,u,S,5,t,x,h,t,l,4,5,j,x,a,/,9,t
b,i,x,/,/,9,8,r,a,1,h,i,e,8,2,5,m
s,s,i,v,h,o,d,h,w,a,c,g,l,/,h,9,t
m,a,K,7,.,h,7,k,b,j,0,i,y,5,r,x,r
9,y,v,g,d,a,n,g,z,s,v,/,f,w,1,l,a
/,w,3,a,g,f,i,v,b,/,a,1,u,n,j,c,n
u,p,5,y,b,a,2,t,o,c,y,p,r,e,5,f,4
p,7,e,g,u,0,b,9,a,s,c,f,q,a,m,3,h
8,u,n,6,v,/,j,c,h,p,z,5,p,6,t,j,l
d,u,p,p,/,s,k,x,e,6,6,1,1,e,g,r,u
m,d,y,8,o,g,u,/,j,o,.,o,h,l,l,5,t
g,a,y,o,s,u,1,e,e,s,p,9,3,z,u,8,f
3,k,r,/,h,8,8,.,s,a,h,/,j,f,d,k,y
p,/,8,r,t,c,i,0,8,f,5,m,d,v,/,q,s
0,2,1,1,7,/,n,k,7,h,.,j,z,x,6,k,2
1,h,d,k,0,g,6,1,e,6,7,n,x,7,d,t,k
k,.,D,m,b,3,z,t,g,x,q,5,5,n,k,a,i
0,d,q,w,6,o,x,d,4,u,s,w,0,y,/,u,o
s,n,E,.,w,4,y,m,2,t,i,u,g,a,k,d,7
l,z,h,4,7,7,l,b,p,y,t,j,s,p,/,o,5
6,q,k,z,o,w,9,k,t,k,7,h,6,g,8,t,w
b,t,w,/,9,a,9,/,i,t,q,7,o,s,k,y,k
l,/,n,x,5,q,u,p,2,l,2,1,0,e,n,r,c
w,r,U,3,g,1,s,r,o,s,p,/,j,7,w,a,0
o,g,O,3,q,b,t,p,p,5,p,n,k,i,h,2,7
t,d,N,0,p,6,o,u,w,u,f,w,0,6,h,h,l
y,i,g,l,6,5,t,0,/,o,.,z,/,.,b,t,5
r,g,h,y,y,n,/,y,8,q,a,9,7,9,f,g,u
7,t,P,z,/,/,/,l,s,5,2,7,7,z,p,q,.
o,u,Q,6,h,t,q,c,x,j,h,6,v,c,.,3,k
.,y,/,o,f,/,j,3,6,2,4,d,h,3,u,z,p
